Speaker label,Gender,Word,Vowel Phoneme,Class number,Format 1 (Hz),Format 2 (Hz),Format 3 (Hz),Time marker (s)
eah001,F,hard,AA,1,741.8868814,1272.792831,2737.955788,6.348731
eah001,F,heed,IY,2,445.3859194,2661.233652,3016.494397,1.808212
eah001,F,hoard,AO,3,594.6195021,927.6654959,2976.82652,11.537036
jrk001,F,hard,AA,1,737.7731681,1108.477152,2846.775972,4.336257
jrk001,F,heed,IY,2,292.9787853,2634.366908,2962.381004,0.940228
jrk001,F,hoard,AO,3,596.3868048,898.9749884,2833.249748,9.211588
kjd001,F,hard,AA,1,785.9664498,1101.745126,2958.285074,4.730524
kjd001,F,heed,IY,2,301.1146942,2628.450647,2964.700201,1.052336
kjd001,F,hoard,AO,3,575.7098863,1094.428087,2923.566578,13.042983
klm001,F,hard,AA,1,723.6930313,1143.212257,2582.779631,3.936338
klm001,F,heed,IY,2,406.216748,2720.11894,2967.877729,1.206569
klm001,F,hoard,AO,3,580.6222635,951.6269078,3058.761328,7.431174
kxe001,F,hard,AA,1,806.5460227,1214.793565,2971.38627,4.001159
kxe001,F,heed,IY,2,352.3393254,2531.708302,3065.104773,2.563094
kxe001,F,hoard,AO,3,588.6681361,949.9010723,3052.897455,7.396772
aaj001,M,hard,AA,1,641.8139813,2203.291492,2759.512091,16.384345
aaj001,M,heed,IY,2,2040.853833,2631.808203,3000.998956,1.598415
aaj001,M,hoard,AO,3,554.9419646,864.6877324,2743.744064,7.265906
cts001,M,hard,AA,1,719.681597,1351.85921,2238.4151,2.3
cts001,M,heed,IY,2,295.2655543,2348.579903,2897.457334,0.599422
cts001,M,hoard,AO,3,486.1438939,859.9550904,2513.07428,5.048741
dgf001,M,hard,AA,1,839.3977696,2288.389464,3382.019471,3.896529
dgf001,M,heed,IY,2,249.421426,2272.710123,2946.178518,0.899418
dgf001,M,hoard,AO,3,706.1585741,2600.754468,3271.168521,7.193273
dwl001,M,hard,AA,1,886.8609398,1278.59339,2660.362765,6.510577
dwl001,M,heed,IY,2,1351.767923,2626.991014,3248.344773,1.58886
dwl001,M,hoard,AO,3,734.52674,2541.25891,3332.4374,13.93836
wrq001,M,hard,AA,1,649.861243,1156.010053,2780.947671,5.480798
wrq001,M,heed,IY,2,219.4604772,2634.236887,3619.343787,1.751577
wrq001,M,hoard,AO,3,502.1403504,885.5458584,3023.09537,10.881786
gtb001,F,hard,AA,1,597.7334353,1040.836682,2535.673184,4.950101
gtb001,F,heed,IY,2,368.8502041,2790.331722,3024.026478,0.957208
gtb001,F,hoard,AO,3,559.8157584,935.897236,2528.360079,8.890481
gxf001,F,hard,AA,1,788.8665071,1159.610002,2789.205052,2.753135
gxf001,F,heed,IY,2,408.7025215,2515.50332,3081.603144,0.931827
gxf001,F,hoard,AO,3,617.7636265,1683.83962,2723.123676,6.392234
lrg001,F,hard,AA,1,845.2181072,1264.863317,3076.825116,4.089716
lrg001,F,heed,IY,2,364.9389829,2700.168322,3287.239044,2.365596
lrg001,F,hoard,AO,3,547.5141081,982.8287812,3043.286497,6.437103
mjh001,F,hard,AA,1,786.3417852,1104.365152,2875.918096,3.280782
mjh001,F,heed,IY,2,474.0916136,2535.945254,3126.051535,0.79896
mjh001,F,hoard,AO,3,666.0875099,932.487219,2988.682229,5.833142
mmg001,F,hard,AA,1,571.5378575,1175.937667,3030.583637,5.415522
mmg001,F,heed,IY,2,243.4880633,2718.38665,3261.672889,1.855239
mmg001,F,hoard,AO,3,496.744606,950.6442416,2844.848078,10.060364
asp002,M,hard,AA,1,828.7837145,1150.139621,2308.274137,3.649118
asp002,M,heed,IY,2,336.9371091,2247.636732,2711.055214,1.161639
asp002,M,hoard,AO,3,744.1166731,2411.71883,3393.750474,6.253748
axp001,M,hard,AA,1,699.2855869,1105.553783,2688.600299,4.068808
axp001,M,heed,IY,2,565.7017433,2312.798923,3096.696737,1.025854
axp001,M,hoard,AO,3,568.0990471,1648.955228,2839.335186,8.649061
jxe001,M,hard,AA,1,884.0088208,1306.011091,2605.642863,4.147904
jxe001,M,heed,IY,2,1518.527679,2802.274312,3573.052485,1.555274
jxe001,M,hoard,AO,3,728.502817,1859.938368,3005.590254,7.446324
pdk001,M,hard,AA,1,758.2284657,1153.938704,2517.561295,3.452059
pdk001,M,heed,IY,2,249.113694,2249.605872,2838.990473,1.056002
pdk001,M,hoard,AO,3,679.2624888,1013.840907,2615.593465,6.07323
tfg001,M,hard,AA,1,727.0891664,1056.029234,2864.614956,5.422085
tfg001,M,heed,IY,2,307.9935495,2351.763105,2902.53172,1.426204
tfg001,M,hoard,AO,3,440.3571811,1013.598622,2615.110212,9.47474
ald001,F,hard,AA,1,850.0382335,1163.615827,2664.665351,6.009222
ald001,F,heed,IY,2,361.6512092,2635.054268,3156.514517,1.727143
ald001,F,hoard,AO,3,453.4844228,1020.305495,3097.317696,10.098928
hjl001,F,hard,AA,1,872.6876945,1332.077963,3178.494145,5.913665
hjl001,F,heed,IY,2,329.438103,2740.294775,3637.770602,1.289909
hjl001,F,hoard,AO,3,626.89696,1032.429468,2952.205343,10.452794
mja001,F,hard,AA,1,677.5520607,1307.249851,3110.044408,5.313219
mja001,F,heed,IY,2,403.947588,2693.039279,3126.402391,0.675848
mja001,F,hoard,AO,3,405.293891,950.726897,2791.094966,10.556882
nxp001,F,hard,AA,1,783.3117257,1173.071921,2921.924711,7.124059
nxp001,F,heed,IY,2,356.9086179,2593.178963,3226.809801,1.123895
nxp001,F,hoard,AO,3,414.8550811,809.7974122,2833.010891,13.791376
rxt001,F,hard,AA,1,795.4142738,1158.015861,2993.091102,5.471518
rxt001,F,heed,IY,2,369.6252011,2789.765758,3374.652171,1.211358
rxt001,F,hoard,AO,3,533.1258562,897.9460515,2839.42405,9.94537
htl001,M,hard,AA,1,765.4562602,1031.204037,2538.659542,4.626023
htl001,M,heed,IY,2,259.9159909,2301.726238,3056.181758,0.730433
htl001,M,hoard,AO,3,638.1430923,2280.343546,3397.610176,8.756302
ifp001,M,hard,AA,1,804.9306135,1287.683689,2542.784395,9.234841
ifp001,M,heed,IY,2,547.9637963,2401.755851,3462.190801,1.702252
ifp001,M,hoard,AO,3,724.8139607,2568.606193,3711.954849,17.252344
kxk001,M,hard,AA,1,711.4955387,1027.625017,2616.987792,5.297326
kxk001,M,heed,IY,2,233.8768075,2192.146865,2851.879403,1.084397
kxk001,M,hoard,AO,3,662.7433931,2499.592868,3231.627158,9.77562
pem001,M,hard,AA,1,659.8086582,1088.114438,3017.110191,4.697277
pem001,M,heed,IY,2,305.6931493,2540.212058,3368.355623,0.694741
pem001,M,hoard,AO,3,413.8276228,758.8090982,2909.556639,9.795626
rwj001,M,hard,AA,1,839.6501964,1490.711431,2205.863001,8.360165
rwj001,M,heed,IY,2,333.650183,2391.709916,3198.147247,0.298584
rwj001,M,hoard,AO,3,583.0465285,1024.685488,3072.480804,15.112345
jxh002,F,hard,AA,1,658.1819522,1015.099212,2882.497738,6.043737
jxh002,F,heed,IY,2,316.7253626,2521.452989,2972.042814,1.061715
jxh002,F,hoard,AO,3,601.4742454,973.6001126,2829.450963,12.052016
mlg001,F,hard,AA,1,783.0166646,1126.407401,2896.354935,4.849984
mlg001,F,heed,IY,2,354.314555,2775.985483,3161.386494,1.240481
mlg001,F,hoard,AO,3,670.0171287,768.93393,3022.07503,9.042013
mlg002,F,hard,AA,1,715.2434921,1221.855352,3138.997606,6.216236
mlg002,F,heed,IY,2,314.4251913,2919.501821,3238.747135,1.693503
mlg002,F,hoard,AO,3,465.351854,847.3907826,3116.23626,10.585908
scn001,F,hard,AA,1,682.4333623,1375.711059,2837.773524,3.430971
scn001,F,heed,IY,2,272.295784,2796.766299,3549.451666,1.127709
scn001,F,hoard,AO,3,550.5355934,942.1953617,2905.561237,7.097114
sxp001,F,hard,AA,1,712.5289032,918.0580971,2869.666979,4.063318
sxp001,F,heed,IY,2,371.529458,2467.325266,2785.166107,1.454763
sxp001,F,hoard,AO,3,644.8954162,2493.478949,3269.424862,8.029838
dxc001,M,hard,AA,1,519.629138,1270.870919,2907.432924,3.64824
dxc001,M,heed,IY,2,1416.717987,2629.879779,3172.681665,1.010246
dxc001,M,hoard,AO,3,667.8197719,2708.921648,3120.948076,6.567322
jxm001,M,hard,AA,1,625.7069917,1105.318826,2730.301951,7.79226
jxm001,M,heed,IY,2,277.7562655,2425.55407,3061.235669,4.629345
jxm001,M,hoard,AO,3,539.730936,779.4320469,2735.286938,11.845188
kxr001,M,hard,AA,1,711.112216,1194.453268,2797.650927,5.274267
kxr001,M,heed,IY,2,1598.679945,2837.326717,3387.59282,1.182077
kxr001,M,hoard,AO,3,559.0117268,2158.04584,3263.320931,10.188892
pxa001,M,hard,AA,1,703.3595914,946.5666398,2635.494227,3.355313
pxa001,M,heed,IY,2,992.3992197,2613.707953,3338.498545,0.911367
pxa001,M,hoard,AO,3,661.4256346,2298.667825,3277.788507,6.6427
txp001,M,hard,AA,1,712.9368572,1629.511063,2934.553201,4.248725
txp001,M,heed,IY,2,516.6556967,2390.756177,2935.10659,2.144343
txp001,M,hoard,AO,3,788.3640305,2511.335899,3195.732501,7.537666
aud001,F,hard,AA,1,953.4414234,1487.272517,3105.247481,4.239512
aud001,F,heed,IY,2,328.5522546,2820.900132,3374.286044,2.065566
aud001,F,hoard,AO,3,583.9281471,1044.786083,2955.498313,7.442595
joh001,F,hard,AA,1,942.635231,1448.840103,2762.115954,4.982362
joh001,F,heed,IY,2,360.3163228,2622.473863,3117.958057,1.505184
joh001,F,hoard,AO,3,617.9413355,917.030231,2496.606594,8.563871
fmb001,F,hard,AA,1,747.6564817,1245.074999,2343.897993,2.470125
fmb001,F,heed,IY,2,303.0009637,2737.725235,3263.937867,0.719431
fmb001,F,hoard,AO,3,530.883099,952.3363134,2383.707574,5.432668
lna001,F,hard,AA,1,766.8577859,1391.174143,2553.468456,8.158069
lna001,F,heed,IY,2,292.575479,2649.968289,3266.021214,1.725131
lna001,F,hoard,AO,3,469.2706316,1175.664833,2445.306746,15.024422
lxd001,F,hard,AA,1,791.1533724,1517.119655,2354.286123,3.231608
lxd001,F,heed,IY,2,317.9402777,2516.953105,2985.975158,0.771347
lxd001,F,hoard,AO,3,485.068874,1050.794903,2387.091649,7.26166
iwd001,M,hard,AA,1,882.5737962,1197.216071,2507.31503,3.493657
iwd001,M,heed,IY,2,1098.127992,2640.834405,3242.391315,0.710014
iwd001,M,hoard,AO,3,783.6281386,2165.07566,3187.903167,6.497879
jmc002,M,hard,AA,1,711.2215119,1133.142615,3138.774888,2.633475
jmc002,M,heed,IY,2,300.4006757,2536.632123,3126.849852,0.581449
jmc002,M,hoard,AO,3,463.1874859,972.8709208,2895.298331,7.164702
ljg001,M,hard,AA,1,733.1501456,1115.933907,2889.513622,4.100073
ljg001,M,heed,IY,2,312.3946232,2470.312565,3015.488659,0.835483
ljg001,M,hoard,AO,3,536.4635717,957.9195756,2858.24689,7.016588
sgd001,M,hard,AA,1,768.4219988,1174.555254,3063.570747,4.206588
sgd001,M,heed,IY,2,316.9796432,2463.756716,3435.930087,1.168058
sgd001,M,hoard,AO,3,449.6320601,855.5225348,3334.110707,7.736922
sxm001,M,hard,AA,1,978.0531022,1433.070303,3009.349878,4.5644
sxm001,M,heed,IY,2,1246.565118,2512.624108,3500.777389,1.339628
sxm001,M,hoard,AO,3,712.2561539,2606.209718,3276.06617,8.463936
